subwatershed,area,perimeter,circulatory_ratio,relief,avg_slope,watershed_length,elongation_ratio,drainage_density,shape_factor,relief_ratio,ruggedness,aae_area,buildings_aae_count,x_area,buildings_x_count,water_bodies_area,dams_count,bridges_count,streets_km,railroads_km,population,population_density,avg_median_income,housing_density,population_change,dependent_population_pct,dist_to_stream_avg (m),dist_to_stream_stdev (m),lu_21_area,lu_22_area,lu_23_area,lu_24_area,lu_41_area,lu_82_area,avg_impervious_percent,orb100yr24ha_am,orb25yr24ha_am,orb2yr24ha_am,orb50yr24ha_am,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
40400010303,106.11,54.56,0.45,85.49,3.97,22.38,0.04,98.59,4.72,0.00,8.43,5.67,44.00,0.52,105.00,2.22,3.00,12.00,401.73,39.40,"83,885.00","147,944.04","69,135.67","11,105.72","1,202.00",38.75,621.96,435.30,9.64,16.46,7.64,1.47,18.41,23.36,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","64,285.55","33,104.28"
40400010503,54.66,45.84,0.33,38.18,3.10,13.28,0.01,"1,512.10",3.23,0.00,57.73,3.50,129.00,1.36,223.00,1.78,1.00,4.00,281.37,38.57,"84,380.00","6,321,644.10","64,760.80","317,580.58","1,138.00",38.32,897.40,655.03,7.22,18.09,5.19,1.22,6.01,8.10,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","29,839.39","15,823.07"
40500011001,89.52,74.92,0.20,54.63,3.66,13.57,0.14,0.45,2.06,0.00,0.02,2.94,2.00,0.00,0.00,3.61,0.00,0.00,132.05,6.91,"18,410.00","6,812.46","52,584.25",115.82,"1,139.00",38.55,"1,033.97",812.69,4.17,1.66,0.39,0.08,2.66,49.32,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","55,680.81",179.54
40500011506,105.46,79.94,0.21,51.75,3.61,14.96,0.06,73.92,355.89,0.00,3.83,11.40,310.00,0.22,26.00,7.09,0.00,5.00,151.02,24.55,"28,590.00","45,470.12","57,607.43","1,062.40",-165.00,43.27,843.47,767.75,4.76,1.32,0.33,0.09,4.43,60.33,0.92,"5,735.26","4,511.41","2,418.30","5,107.41","37,778.49","26,955.98"
41000050102,87.28,64.13,0.27,28.41,2.42,13.24,0.49,1.41,5.32,0.00,0.04,13.25,527.00,2.11,507.00,1.39,1.00,25.00,525.56,63.46,"96,225.00","2,917.07","45,919.93",246.95,"1,621.00",39.85,918.11,660.00,13.96,23.78,8.43,5.10,2.54,28.17,21.89,"5,639.30","4,438.93","2,379.89","5,025.40","46,515.81","20,702.79"
50800030102,84.67,61.08,0.29,19.49,1.16,29.99,0.00,"5,049,167.96","68,845,255.16",0.00,"98,403.38",2.80,4.00,0.25,7.00,0.23,1.00,13.00,123.78,10.89,"9,778.00","748,443,245.70","52,028.33","24,493,949.54",30.00,41.23,451.66,301.54,3.77,0.42,0.09,0.06,9.33,61.59,1.39,"6,639.86","5,110.29","2,621.49","5,850.60","31,750.00",0.00
50800030204,71.68,46.02,0.43,71.49,3.89,21.66,0.44,5.28,6.54,0.00,0.38,6.98,16.00,0.41,8.00,0.32,1.00,7.00,103.92,11.01,"14,067.00",196.25,"55,761.00",9.28,-355.00,40.65,65.07,41.45,2.72,0.74,0.08,0.02,10.63,52.33,0.63,"5,599.61","4,591.77","2,625.77","5,094.05","25,890.32","33,940.67"
50800030303,73.56,46.21,0.43,60.61,2.82,14.54,0.00,0.95,2.87,0.00,0.06,7.63,120.00,0.71,53.00,0.34,0.00,17.00,114.72,13.71,"21,456.00","71,396,731.26","57,448.33","2,093,052.94",179.00,42.03,355.71,303.21,3.10,1.54,0.39,0.12,8.47,55.65,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","30,379.48","56,459.03"
50800030803,76.68,53.68,0.33,153.55,7.56,22.63,0.00,"5,942.38","98,809.51",0.01,912.46,1.73,34.00,0.00,0.00,0.22,0.00,5.00,91.56,0.43,"6,353.00","1,226,067.20","58,027.00","57,511.10",438.00,42.20,823.38,717.46,3.12,0.22,0.03,0.00,16.86,40.68,0.30,"5,673.20","4,650.26","2,661.13","5,161.33","29,403.13","9,834.65"
50902030505,60.63,51.34,0.29,56.85,6.80,25.83,0.00,"10,771,218.10","213,435,288.50",0.00,"612,374.06",6.94,20.00,0.00,0.00,0.52,0.00,8.00,86.63,1.87,"14,588.00","4,667,552,591.00","59,858.67","65,271,505.93",-214.00,41.30,814.88,665.50,2.67,0.36,0.03,0.01,23.18,25.94,0.42,"5,896.66","4,796.03","2,713.96","5,344.08","35,177.94","46,140.48"
50902030507,64.61,41.42,0.47,74.22,7.42,16.22,0.41,0.49,4.07,0.00,0.04,4.27,18.00,0.00,0.00,1.50,1.00,3.00,100.25,2.85,"16,528.00",479.53,"54,718.50",16.02,-42.00,40.08,993.67,618.20,3.27,0.73,0.19,0.06,31.90,18.91,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","35,445.76","22,223.46"
50902031007,61.28,37.93,0.54,151.41,16.01,15.38,0.55,0.68,4.28,0.01,0.10,4.14,83.00,1.33,35.00,0.70,0.00,5.00,89.97,0.00,"7,713.00",139.45,"53,164.00",4.79,-199.00,43.00,669.14,509.30,3.07,0.31,0.05,0.02,27.89,1.56,0.59,"6,051.64","4,932.69","2,800.97","5,490.86","32,600.96","11,845.79"
51201011004,88.49,77.79,0.18,19.49,1.16,12.30,0.00,"19,940.11","61,169.24",0.00,388.61,18.95,171.00,1.45,179.00,2.39,2.00,20.00,389.00,27.52,"52,231.00","21,104,687.44","75,870.00","1,896,678.27","1,973.00",39.16,"1,109.65",709.70,13.49,15.39,5.31,1.95,11.51,30.21,1.39,"6,639.86","5,110.29","2,621.49","5,850.60","30,052.88","13,393.26"
51201011404,41.81,31.83,0.52,94.10,2.58,10.84,0.01,"6,006.10","35,561.29",0.01,565.17,0.27,0.00,0.09,0.00,0.09,0.00,5.00,52.68,0.00,"3,413.00","1,032,310.48","61,141.00","73,801.28",-396.00,39.70,855.59,693.70,1.49,0.32,0.04,0.00,4.57,33.90,0.48,"6,083.47","4,787.60","2,570.47","5,418.18","80,604.19",1.20
51201011507,94.72,53.10,0.42,90.67,2.98,18.85,0.08,31.33,192.35,0.00,2.84,5.54,46.00,0.06,2.00,0.36,2.00,12.00,177.74,18.93,"22,739.00","12,314.56","52,317.83",722.98,-308.00,36.12,602.59,481.15,10.10,3.52,1.65,1.25,10.54,63.57,4.10,"6,151.61","4,845.10","2,605.86","5,482.13","52,705.82","59,574.93"
51201020103,55.24,39.39,0.45,26.64,1.64,9.94,0.81,0.88,1.94,0.00,0.02,4.18,122.00,0.04,46.00,0.17,0.00,7.00,129.20,11.10,"12,849.00",251.82,"47,715.50",7.82,111.00,43.03,426.81,213.26,3.04,2.53,0.82,0.39,4.15,42.86,3.50,"5,425.31","4,383.01","2,456.56","4,898.81","48,716.19",12.37
51201020108,58.49,40.80,0.44,19.49,1.16,8.59,0.34,7.68,11.01,0.00,0.15,6.89,6.00,0.00,0.00,0.31,0.00,7.00,90.03,0.00,"3,257.00",485.85,"55,366.00",23.72,-111.00,42.50,340.69,280.50,2.47,0.23,0.03,0.01,3.98,50.63,1.39,"6,639.86","5,110.29","2,621.49","5,850.60","16,334.49",660.63
51201020403,90.02,54.60,0.38,42.43,1.73,16.96,0.63,4.67,3.20,0.00,0.20,5.84,1.00,0.00,0.00,0.88,0.00,9.00,124.59,0.00,"11,808.00",131.17,"60,127.67",4.58,-135.00,39.53,79.05,42.32,3.13,0.64,0.07,0.02,7.86,76.58,0.48,"5,953.04","4,679.17","2,509.69","5,299.99","50,564.23","14,171.84"
51201030105,90.74,57.01,0.35,19.49,1.16,14.26,0.00,"26,654,466.17","106,122,940.80",0.00,"519,469.66",6.24,28.00,0.00,0.00,0.23,0.00,16.00,134.61,9.90,"13,666.00","7,133,173,766.00","50,030.60","139,886,621.50",-522.00,41.50,550.60,402.54,3.64,0.72,0.08,0.00,5.31,77.51,1.39,"6,639.86","5,110.29","2,621.49","5,850.60","17,058.51","4,976.55"
51201030404,52.73,49.77,0.27,40.44,2.55,14.94,0.04,0.81,4.23,0.00,0.03,5.23,54.00,0.22,37.00,0.61,0.00,5.00,92.93,6.28,"28,335.00","81,945.29","59,353.00","1,177.05","-1,812.00",41.17,413.00,273.48,3.15,1.02,0.15,0.05,5.78,37.71,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","27,304.22","12,443.89"
51201040101,54.35,45.81,0.33,108.56,5.55,13.21,0.00,"2,909,809.29","20,114,048.05",0.01,"315,885.29",0.87,0.00,0.00,0.00,1.42,0.00,2.00,92.49,0.00,"19,956.00","2,301,606,443.00","65,089.75","62,741,727.06",592.00,39.60,627.21,397.00,2.26,0.38,0.04,0.00,8.45,28.65,0.52,"5,787.52","4,550.16","2,437.21","5,153.35","40,106.77",179.83
51201040304,90.26,77.42,0.19,42.93,3.65,14.72,0.19,0.53,2.40,0.00,0.02,5.97,14.00,0.00,0.00,1.42,0.00,16.00,128.56,32.91,"23,126.00","3,899.23","61,073.00",92.23,25.00,40.62,640.51,399.08,3.55,0.90,0.10,0.01,9.37,71.49,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","28,407.33","12,271.45"
51201040506,57.31,41.03,0.43,42.29,1.75,13.74,0.62,0.60,3.30,0.00,0.03,0.00,0.00,0.00,0.00,0.18,1.00,8.00,66.74,6.87,"11,644.00",203.19,"55,936.67",3.54,-329.00,42.87,578.08,429.58,1.81,0.47,0.09,0.03,1.83,52.58,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","30,779.29","2,776.13"
51201040705,102.83,51.76,0.48,65.70,4.18,15.86,0.02,0.54,2.45,0.00,0.04,4.40,139.00,0.72,534.00,0.66,3.00,7.00,253.60,20.82,"27,808.00","300,629.36","43,334.00","20,886.65",-778.00,40.99,534.24,390.86,8.73,4.51,1.72,0.82,15.99,59.46,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","27,527.16","34,466.88"
51201060205,53.34,53.37,0.24,36.95,2.87,17.79,0.06,33.77,5.94,0.00,1.25,5.07,106.00,0.45,102.00,2.08,0.00,6.00,141.44,7.78,"31,617.00","39,252.63","60,020.13",892.64,307.00,41.18,630.20,422.75,4.04,3.05,1.38,1.06,3.72,28.05,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","22,473.06","13,257.58"
51201060303,59.36,57.32,0.23,93.26,3.02,13.89,0.60,0.58,3.48,0.01,0.05,3.89,13.00,0.00,0.00,2.51,0.00,5.00,84.01,6.30,"16,459.00",297.04,"54,074.00",8.75,"1,473.00",40.55,530.37,381.14,2.37,0.63,0.07,0.03,6.30,41.14,0.68,"5,879.96","4,627.96","2,483.44","5,240.32","32,533.08","54,443.11"
51201060509,73.69,73.50,0.17,59.66,3.54,22.41,0.00,0.47,6.81,0.00,0.03,6.59,62.00,0.00,0.00,1.60,0.00,3.00,149.93,7.50,"15,559.00","2,534,759.06","51,960.00","88,787.43",334.00,42.28,691.43,491.25,4.30,2.61,0.54,0.28,8.62,43.93,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","27,912.19","24,125.34"
51201061303,61.21,56.27,0.24,28.83,0.96,10.68,0.83,4.80,1.86,0.00,0.14,0.00,0.00,0.00,0.00,0.06,0.00,7.00,67.98,9.23,"7,720.00",126.11,"66,387.00",4.08,379.00,40.47,78.90,46.68,1.17,1.10,0.08,0.03,0.43,57.84,0.93,"6,299.30","4,963.82","2,660.35","5,617.48","14,272.36","6,688.69"
51201070101,50.82,49.18,0.26,20.01,1.00,19.50,0.37,0.46,7.48,0.00,0.01,8.86,32.00,0.00,0.00,0.02,0.00,9.00,84.82,4.98,"15,218.00",370.88,"58,822.50",7.41,-616.00,39.53,841.01,408.95,1.98,1.09,0.27,0.07,0.25,46.61,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","22,619.58","16,947.00"
51201070109,67.54,40.93,0.51,25.44,1.98,11.97,0.53,0.77,4.49,0.00,0.02,2.81,344.00,0.94,374.00,0.45,2.00,11.00,364.66,26.53,"55,523.00","1,740.09","43,994.07",129.53,-902.00,40.53,"1,037.52",750.88,5.54,11.56,7.47,4.36,1.40,34.02,19.65,"6,340.78","4,991.54","2,683.12","5,650.18","69,453.13","46,050.68"
51201080410,95.87,50.67,0.47,85.55,5.82,21.17,0.00,0.37,4.68,0.00,0.03,4.43,0.00,0.00,0.00,0.27,0.00,11.00,125.70,0.92,"8,247.00","7,170,801.62","59,689.50","109,557.54",-217.00,41.80,"1,118.31",817.02,2.73,1.97,0.14,0.01,25.14,57.72,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","5,900.29",0.00
51201080606,56.34,38.98,0.47,19.49,1.16,20.64,0.41,0.53,7.74,0.00,0.01,1.28,9.00,0.00,0.00,0.04,0.00,5.00,62.90,11.59,"3,739.00",67.91,"64,489.00",1.34,326.00,42.60,761.85,562.66,1.31,0.79,0.03,0.00,14.15,37.70,1.39,"6,639.86","5,110.29","2,621.49","5,850.60","26,492.43","32,912.02"
51201081104,50.21,38.99,0.42,63.64,6.05,16.96,0.01,0.34,5.73,0.00,0.02,10.71,4.00,0.03,2.00,0.09,0.00,4.00,94.53,4.71,"2,740.00","88,129.60","56,094.00",514.63,-348.00,43.30,654.17,693.44,1.51,1.03,0.24,0.01,16.13,26.92,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","16,798.09","1,527.65"
51201081205,85.66,46.73,0.49,85.67,4.80,15.19,0.10,0.47,2.69,0.01,0.04,1.98,3.00,0.00,0.00,0.28,0.00,19.00,97.60,8.34,"13,139.00","6,645.43","58,825.33",76.37,287.00,37.37,678.50,461.01,2.61,0.29,0.01,0.00,14.65,58.42,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","40,779.63","7,139.74"
51201081606,66.58,42.75,0.46,19.49,1.16,20.45,0.44,0.32,6.60,0.00,0.01,3.23,2.00,0.00,0.00,0.50,0.00,15.00,100.69,2.89,"5,581.00",88.10,"54,835.00",0.92,-452.00,43.10,"1,193.28",907.15,2.55,1.07,0.17,0.04,13.13,44.55,1.39,"6,639.86","5,110.29","2,621.49","5,850.60","19,792.31","5,660.57"
51201100402,70.34,57.61,0.27,54.67,2.28,25.00,0.01,"1,381.74","22,380.47",0.00,75.54,5.23,117.00,0.65,86.00,0.32,0.00,12.00,153.34,15.64,"26,141.00","936,083.06","62,249.20","36,381.94",433.00,38.90,678.34,356.19,4.99,3.63,1.04,0.29,2.95,53.83,3.49,"6,289.01","5,001.30","2,727.05","5,631.92","23,831.95","22,834.58"
51201100602,43.93,40.26,0.34,64.42,3.14,6.12,1.20,0.14,0.85,0.01,0.01,1.46,4.00,0.00,0.00,0.26,1.00,7.00,76.10,0.60,"17,716.00",417.52,"49,088.75",8.44,-623.00,40.63,"1,116.33",817.54,1.83,1.08,0.31,0.13,1.43,33.98,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","33,301.86","41,263.91"
